T,CO2,H2,pH,NH4+,H2S,CH4
349.65,-1.8288,-1.8288,3.0312,-4.5641,-2.9213,-2.6025
346.55,-1.8327,-1.83337,3.0951,-4.5667,-2.9251,-2.6064
318.36,-1.8673,-1.87396,4.0461,-4.6027,-2.9625,-2.6435
302.39,-1.8864,-1.89681,4.2666,-4.6066,-2.9854,-2.666
280.14,-1.9132,-1.92946,4.3773,-4.5897,-3.0197,-2.6994
250.91,-1.95,-1.97519,4.4361,-4.5675,-3.0694,-2.7476
215.37,-1.999,-2.03745,4.5328,-4.5669,-3.1392,-2.8145
176,-2.0662,-2.11934,4.822,-4.6086,-3.238,-2.9031
136.63,-2.1604,-2.22286,5.1054,-4.6879,-3.3688,-3.0145
101.09,-2.2779,-2.34903,5.2965,-4.7943,-3.5167,-3.1476
71.865,-2.4151,-2.49815,5.498,-4.9297,-3.6791,-3.2994
49.609,-2.569,-2.67062,5.728,-5.087,-3.8569,-3.466
33.636,-2.736,-2.86868,5.9865,-5.2594,-4.0508,-3.6435
22.654,-2.9129,-3.09961,6.2519,-5.4418,-4.2614,-3.8286
15.324,-3.0964,-3.38508,6.5083,-5.6306,-4.4897,-4.019
10.527,-3.2831,-3.8057,6.7491,-5.8236,-4.737,-4.2128
7.429,-3.4722,-46.5282,6.9759,-6.0192,-5.0056,-4.4089
5.446,-3.6506,-47.4549,7.1784,-6.2165,-5.2891,-4.6064
